extraversion,agreeableness,neuroticism,conscientiousness,openness,IPA,privacy_fatigue
2.5,3.5,3.5,4,2.5,4,0
4.5,3.5,2.5,4.5,3,3.625,0
3,2.5,4,4.5,1.5,2,0
3,4,2.5,4,1.5,2.625,0
2,5,3,4,4,4.25,0
3.5,2.5,3.5,3.5,3,1.5,0
2.5,2.5,3.5,2.5,3.5,1.25,0
2,3.5,2.5,4.5,1.5,1.375,0
3.5,2,2.5,2.5,3,1.25,0
3.5,4,1.5,4.5,4.5,4,0
4,4,2,4,3,4.125,0
4.5,4.5,2.5,5,3,2.375,0
3,4.5,2.5,5,3.5,3.125,0
2.5,4.5,3,4,3.5,4.5,0
3,3,3,3,3.5,2,0
2.5,4,3,3.5,2.5,3.125,0
3,4,2,4.5,2,4.25,0
4,4,2.5,4,2,3,0
3,3,3,3,4,1.625,0
3,3,3,3,3,3.375,0
4.5,5,3,4.5,2,4.25,0
2.5,3,1.5,3.5,2.5,4.875,0
3,3.5,3,3.5,2,4.875,0
3.5,3,4,4,2.5,3.5,0
4,4,2,4,3,3.5,0
4,4,3,4,4,4.125,0
4,4.5,1.5,4.5,3.5,3.875,0
5,4.5,2.5,3.5,2,3.75,0
2.5,3.5,3.5,3,4,3.875,0
3.5,4,2,4,2,3,0
2,2.5,2,4,2.5,3.5,0
4,4.5,1.5,4.5,2,5,0
2.5,4.5,1.5,5,2.5,4.75,0
2.5,3,3,3.5,2,2.25,0
3,4,2.5,4,3,3.125,0
4,4,2,4,4,3.75,0
4,5,3,4.5,4,4.125,0
3,3.5,3.5,3,2,3.625,0
2,5,2.5,4.5,5,1.625,0
4,4,4,3,4,3.375,0
4,3,4,3.5,2,4,0
3,4,2,4,2,4,0
4.5,4,2.5,5,4,3,0
3,3,2.5,3.5,2,4,0
3.5,4,2,4,3,1.625,0
5,3.5,1.5,4,2,4.75,0
3.5,4,3.5,4,3,2.75,0
1.5,4,3,4,2,3.875,0
4,4.5,2,4,2.5,3,0
3.5,4,3.5,4,3,4,0
4.5,5,1,4,4,3.875,0
2.5,4,3,3,3,3.125,0
4,4.5,2.5,4.5,2.5,3.625,0
2,4,1.5,3,3,3.25,0
2,3.5,4,3,2,2.375,0
2.5,5,3.5,3,4,4.75,0
2.5,4,4,3.5,2.5,3.25,0
3,4,2,4,4,4.25,0
3,3.5,3,4,3,3.5,0
4,4.5,4,3.5,3.5,4.125,0
4,3.5,3,4,3,4,0
4,4,3.5,3.5,3.5,4.375,0
3,4,2,3.5,2.5,4.75,0
5,4,1,4.5,2.5,4.25,0
4.5,4.5,1,4.5,3.5,4.375,0
4,4,3.5,3.5,2.5,3.75,0
3,4,4,4,2,3.5,0
2,4.5,3,4.5,1.5,4.875,0
3,4.5,3,4.5,2.5,3.375,0
3.5,4,3,3.5,3,3,0
2.5,4,2,4,2.5,3.5,0
2,3,3,4.5,2.5,4.5,0
3,4.5,2,5,1.5,3.125,0
5,4.5,2,4.5,4.5,3.375,0
2,4,2.5,4,3,3.75,0
4,4,2.5,4.5,1.5,2.875,0
4,5,2,4,2,3.625,0
1.5,3.5,2.5,3.5,1.5,4.5,0
2,2.5,2.5,3,2,3.125,0
4,4,4,4,3,4.25,0
3.5,4.5,2,4,3,3.25,0
4,4,3.5,4,4,3.875,0
2.5,4,3,3.5,3.5,4.125,0
4.5,5,3,4.5,3,4.5,0
4,4.5,3,2.5,4,4.75,0
4.5,4,4,3,3.5,3,0
3,4.5,3,3.5,3.5,3.625,0
3,4.5,3,5,3,4.75,0
4,4.5,1.5,4.5,3,4,0
4,3.5,3,4,3,3,0
4,4.5,3,2.5,3,3.625,0
3,4,3,4,2.5,3.125,0
4,5,2,4.5,3,3.875,0
4,4.5,1.5,5,3.5,4.625,0
4,4,3.5,3,4,3.75,0
4,3,3,4,3,3,0
3.5,4,2.5,4,3.5,3.875,0
2.5,4.5,2,5,2.5,2.875,0
4,4,2,4,2.5,3.375,0
3.5,3.5,2.5,4,2,3.375,0
3.5,4,2,4,2.5,4.5,0
3,4.5,3.5,3.5,3,4.125,0
3.5,4,2,3,3,3.75,0
4.5,5,1.5,4.5,4.5,3.875,0
3.5,4,3.5,4,2,3.375,0
4.5,4,3,4,3,2.875,0
3.5,4,2.5,3,3,4.25,0
3.5,5,2,5,4,2.625,0
3.5,3.5,3,3.5,4,4.125,0
4,4.5,2.5,5,3,3.375,0
3,4,2,4,2.5,2.875,0
4,4,2.5,4,3.5,3.25,0
3,4.5,1.5,4.5,2.5,3.625,0
4.5,4.5,3.5,3,3,4.625,1
4,4,3.5,3.5,2,4,1
4,4,3.5,3.5,2,4,1
3,4.5,2.5,5,2,2.75,1
2.5,4,1.5,4,2.5,3.5,1
4,5,3,3,3,4.5,1
2.5,4,3,4,3,4.75,1
3.5,4,4,1.5,2,3.75,1
3,5,3,4.5,3,4.125,1
4,4.5,2,3.5,2,4.75,1
4.5,4.5,1,5,4.5,4.375,1
4,4.5,2,4,3,3,1
3,4,1,5,2.5,4.75,1
4,3,2,4,2,3.625,1
3,3.5,3,3,3,3.75,1
1,5,3.5,2,3,3.25,1
3.5,4.5,3.5,3,4,4.75,1
3.5,5,1.5,5,2.5,3.375,1
3,4,3.5,5,2,4.875,1
3,3,4,4.5,2,3.5,1
4,4.5,2,4,2,3.5,1
1.5,4.5,2,4.5,3,3.5,1
4,3.5,4,3,2,3.125,1
3.5,4,3,3.5,1.5,4.375,1
3,3.5,3,4,3,3.5,1
2,3,2,4,3,4,1
5,5,1,4,1,5,1
4,4,2,3.5,3,4,1
3,5,3,4.5,4,4.125,1
4,4,2.5,4,2,3,1
3,3,4,4,3.5,3.625,1
2,3.5,2.5,4,4,3.875,1
4,3.5,2.5,4.5,2.5,3.625,1
3.5,5,1.5,4.5,3,4.5,1
4,4,3,4,3.5,4.375,1
3,4,2,1.5,3,4.375,1
3,3.5,4,4,3.5,3.625,1
3.5,4.5,3.5,2,3,3.625,1
3.5,4,3,3.5,2.5,3.75,1
4,4.5,3.5,3,4,4,1
4,4,2,4,2,3,1
4,4,2.5,4,3.5,4,1
2,4,2.5,3,3,3,1
4,4,4,4,3,3.875,1
4.5,3.5,2.5,4,4,3.875,1
3.5,3.5,4,4,2.5,3,1
2.5,4,3,2.5,3.5,4.875,1
4.5,4.5,2.5,4.5,1.5,4.875,1
3,4,3,4,2,3,1
3,4,1.5,4,3.5,3,1
3,2.5,2.5,2,4,3.375,1
1.5,3,1.5,3,3,3.5,1
3,4,2.5,3.5,3,3.25,1
2.5,4,3,5,2,4.375,1
2.5,3.5,3,2.5,4,3.5,1
2.5,4,4,4,2,2.875,1
3,5,4.5,4.5,3.5,4.375,1
2.5,4,4.5,3.5,3,3.25,1
3,3.5,3,4,4,3.125,1
4.5,4.5,2,5,2,3.5,1
4.5,5,3,4,2.5,4.25,1
4,4,3,3.5,4,3.125,1
3,5,2.5,4.5,3.5,3.625,1
3,3,3,3,3,3.125,1
4.5,3,3,4.5,4.5,1,1
2,4,3,4.5,3.5,3.25,1
3.5,3.5,3.5,3.5,2,4,1
3,3,3,3.5,3,2.875,1
4,4,2,4.5,3.5,3.625,1
3.5,4,3.5,3,3.5,4.125,1
3.5,4.5,4,2,3,3,1
3,3,3,3,3,3.625,1
4,4,3.5,3.5,3,3.375,1
4.5,4.5,2,3.5,3.5,3.125,1
3.5,3.5,3.5,2,3,2.875,1
4,3,3.5,3,3,3.125,1
4,4,3,3,3,3.5,1
4.5,4.5,1.5,4.5,3,4.5,1
3.5,4.5,3.5,3,1.5,3.375,1
3,3.5,3,3.5,2.5,3.5,1
1,4.5,4,2,3.5,4.125,1
4.5,4,2.5,4.5,4,3.875,1
4,4,3.5,4,2,4.25,1
4,4.5,2,4.5,2.5,4.625,1
4,3.5,3.5,3,3,4.125,1
3.5,3.5,2.5,3.5,3,4.625,1
3.5,3.5,4.5,5,4.5,4,1
3.5,4.5,2.5,4,2.5,4.25,1
3,5,3.5,5,1,3.5,1
3.5,4.5,2.5,4.5,3.5,3.125,1
4,3,3,3.5,2.5,4.25,1
3,4,2,3.5,3.5,4.75,1
4,5,1,5,1,4.5,1
4.5,4.5,2,4.5,3,3.75,1
3,4.5,2,3.5,2.5,4.25,1
4,4,2.5,3,2,4.125,1
5,5,1.5,4.5,3.5,3.75,1
4,3.5,3.5,4,4,4,1
4,4,3,3,2.5,4,1
4,4,3,4.5,2,3.25,1
3.5,3.5,2,3.5,3.5,4.25,1
4,3,4,3,3,4,1
4,4,3,3.5,3.5,3.375,1
3.5,3.5,2.5,3.5,2.5,3.125,1
3,4.5,1,5,4,4.625,1
3,4,2.5,4,3,2.625,1
3,3.5,2,3,2.5,4,1
4,3,2,4.5,2.5,3.5,1
2,3,3,4,3,3.75,1
3.5,4,3,4,4.5,4.375,1
4,4.5,3,4,4,3,1
3,4.5,2.5,4,2.5,4.75,1
4.5,3,3,3.5,4.5,4.25,1
3,4.5,3,4.5,3,3.5,1
3.5,4,2,3.5,3,3.5,1
4,4,2.5,3.5,2,3.5,1
2.5,5,1.5,4.5,4,4.375,1
1,4,3,5,2,4.25,1
2.5,5,2.5,4.5,4.5,3.625,1
3,4.5,3,4,3.5,3.875,1
2,3,3,4.5,2,4.5,1
2.5,5,1.5,4.5,2,4.125,1
3,4.5,3.5,3,3.5,3.25,1
3.5,4,2,4,3.5,3.75,1
4.5,5,2,3,3,4.5,1
3,3.5,3.5,3,3,4,1
4,3.5,2,4,2,3.25,1
4.5,4.5,2.5,3.5,3.5,4.625,1
4,4,4,4,4,4,1
3,3,5,2,2.5,3,1
2.5,4,3,4,3,3.625,1
1.5,3.5,3,3.5,3,4.5,1
4,4,2,3,2.5,3.375,1
2,3.5,2,3.5,1.5,3.625,1
3.5,3.5,3,3,3.5,4,1
2.5,4,3,3.5,3.5,2.5,1
1,3.5,3.5,3,2,4.25,1
3,3,3,3,3,3.75,1
4,5,2,5,3,4.5,1
2.5,4.5,2.5,4,3,3.5,1
4,4,1.5,3.5,4.5,4.125,1
2.5,3.5,4.5,3,2.5,4,1
3.5,3,3,3,4,4,1
4,4.5,2,4,2.5,3.5,1
4.5,5,3,3.5,3,5,1
4,5,1,5,2,4,1
5,3.5,1.5,4,2,3.25,1
3,3,2,4,3.5,3.5,1
4,4,4,4,3,3,1
4,5,2,3.5,2.5,4,1
4,4.5,2.5,4,2,3,1
2,4,1.5,4,3,4.25,1
5,5,2,4.5,3,4.875,1
5,5,1.5,5,2,4,1
4,4,3,3.5,4,3.75,1
4.5,4,3.5,2.5,4,3.75,1
5,4,3,4,4,4.375,1
4.5,4.5,1.5,4.5,1.5,5,1
3,3,2.5,3.5,3,3.875,1
4.5,4,4,4,4.5,3.875,1
4,4,3,2.5,3.5,3.875,1
3.5,4,4,3.5,2.5,3.625,1
2.5,4,1,5,2.5,4.375,1
4,4.5,3,3,3,3.5,1
4,4.5,2,4,3,3.875,1
3.5,3.5,3,3.5,3,5,1
4,4.5,3,4.5,2.5,3.625,1
3,4,2.5,3,2.5,2.875,1
3,4.5,2,4,2.5,3.625,1
2.5,2.5,3,4,3.5,3,1
4.5,4,1.5,4.5,1.5,3.875,1
5,4.5,3,4,4,4.625,1
3,4,2,3.5,2.5,3.5,1
3,4.5,2,4,3,3,1
4.5,5,3,4.5,3,4.5,1
2,4,3,3,1.5,4,1
3.5,3.5,3,2.5,4.5,3.375,1
4,3.5,4,4,4,4,1
5,5,1,5,1.5,4.5,1
2,4,2.5,3,4.5,3.625,1
4,4,4.5,4,3,3.375,1
4,4,2,4,3,4,1
4,4,2.5,4.5,1.5,4.25,1
1.5,4,3.5,3.5,4.5,4.375,1
2.5,4,3,4,2,3,1
2,3.5,3,2,4,3.625,1
3,4.5,3,3.5,2,4.125,1
2.5,4.5,4,2.5,3.5,2.125,1
4,4,1.5,2,3,4.25,1
3,3,3,3,3,5,1
3,4,3.5,3.5,3,2.625,1
3,4,3,4,2.5,4.125,1
4,5,1.5,5,2.5,3.5,1
3.5,4,2.5,3.5,2.5,2.875,1
3.5,3.5,3,4,4.5,4.5,1
3.5,3,3,2,3.5,1.875,1
4,4,3.5,3,2,4.375,1
4,4,3.5,4,2.5,3.5,1
2,4,2.5,4,3,3.75,1
2.5,5,2.5,3.5,2.5,3.125,1
1.5,2.5,3,3,2,4.75,1
4,4.5,2,3,3,3,1
3,4,3.5,3,2,4,1
4,3.5,2,4.5,3,3.375,1
4,4,2,4,4,2.875,1
4,5,2.5,3.5,2.5,4.25,1
3.5,3.5,2.5,3,2,5,1
4,4,3,4.5,2,3.625,1
2.5,4.5,1.5,4.5,2.5,2.125,1
4,5,1.5,4,4,3.25,1
4,4,3.5,4.5,3.5,4.875,1
3.5,4.5,2.5,5,4.5,3.5,1
4.5,4.5,2,4,2.5,3.625,1
4,4,2.5,4,4,3.625,1
4,3,3.5,4.5,3,3.875,1
3,4,2.5,4.5,2,4.625,1
4,4,2,3.5,2.5,3.75,1
4,4.5,3,5,2,4.375,1
3.5,4,2,4,3,4,1
2,3,2,2.5,4,3.625,1
4,4.5,2,4.5,2.5,4.375,1
4.5,2.5,3.5,3,3.5,4.5,1
4,4,2.5,3.5,2,4.375,1
4,4.5,2,4,3.5,4.125,1
3.5,4,3.5,2.5,2.5,4,1
4,4,3,4,2,3.875,1
4.5,5,1.5,5,1.5,4,1
3.5,5,3,4.5,2.5,3.25,1
4,4,2,4,3,5,1
3,4,2,2.5,4.5,4.25,1
4,3,3,4.5,3.5,4.5,1
4,4.5,2.5,4,2.5,3.25,1
4,4,2.5,4.5,2.5,3.875,1
4,5,2.5,4.5,3,4.75,1
2.5,4.5,4.5,3,2.5,5,1
2.5,3.5,2,4.5,3.5,4,1
4,4,2,4,2.5,4.375,1
4,4,2,4,3,4,1
4,3.5,2.5,4.5,4,4.75,1
3,3.5,4,3,3.5,3.875,1
4,4.5,3.5,3.5,4.5,4.25,1
3,3.5,2,3.5,3,3.5,1
2,3,2,3,2.5,3.375,1
3.5,4,2,5,2,3.625,1
4,4,3,4,1.5,3.75,1
3.5,4,2.5,4,3,4.75,1
3,2.5,3.5,3,2,3,1
4,4,3,4,2.5,3.75,1
4.5,4,3,3.5,3,2.5,1
4,4,3,4,1.5,4.25,1
4.5,3,4,5,4.5,5,1
5,5,2,5,1,5,1
5,3,4,2,2,4.25,1
4,4,2.5,3.5,3.5,3.75,1
3,3,3,4,2.5,3.25,1
4,3.5,1.5,4.5,3,4.875,1
2,4.5,1.5,4,2.5,3.375,1
3.5,3.5,3.5,4,2.5,3.125,1
3,4.5,2,4.5,2,4.25,1
4,4,2,4,2.5,3.625,1
4.5,4.5,3,4.5,2,3.375,1
3.5,3.5,3,4,4,3.875,1
4,5,2,4,2.5,5,1
5,5,3.5,3,3.5,4.375,1
4,4,2.5,3.5,2,4.25,1
4,4.5,2,4,2,3.75,1
3.5,4.5,1.5,4,3,4.25,1
2,3,2.5,5,4.5,4.5,1
3.5,5,2,4,2,4.375,1
3.5,4.5,1.5,5,2.5,3.75,1
2,4.5,4.5,3.5,3,4.125,1
3,4,3,4.5,2.5,3.625,1
4.5,4,3,4.5,3,3,1
4,4.5,2,3.5,2.5,2.875,1
2,4,3,2,2.5,3.75,1
1.5,4,2.5,4.5,3,4.25,1
4,5,3.5,4,2,4.375,1
1.5,3.5,3,4.5,2,3,1
4,4.5,2.5,4,1.5,4.125,1
3.5,2.5,3,3,4,3.75,1
2.5,4,2.5,3.5,3,3.75,1
2.5,3.5,2,4.5,2.5,4.5,1
3,3,4.5,3.5,3,3.375,1
5,4.5,2.5,5,4,3.625,1
2.5,5,1.5,4.5,4,4.625,1
4.5,4,3.5,3.5,2,3.5,1
4.5,5,1.5,3.5,1.5,5,1
4,4,1.5,4.5,2.5,3.125,1
3.5,4,3,3,2,3.875,1
4,5,2,4.5,2.5,5,1
4,4.5,3.5,4,3,3.625,1
4,4,2,4,3,4,1
4,4.5,2,4,3,3.5,1
4,4.5,2.5,3.5,3,4.375,1
3,4.5,3,3.5,2.5,3.5,1
2.5,3.5,2.5,2,4,3.875,1
4,4.5,3,4,3.5,3.75,1
3,4.5,2,4,2.5,3.625,1
4,3.5,2.5,3.5,2.5,2,1
2,2.5,4.5,3,4,4.25,1
3.5,4,3,3.5,2.5,4.5,1
4.5,4.5,2,5,2.5,4.25,1
5,4.5,3,5,4,4,1
2,4,2.5,3.5,1,3.5,1
4,4.5,3,4,4,3.875,1
3.5,4.5,2.5,4.5,1.5,3.875,1
3,3,3,2.5,4,3.5,1
3,4,2,4,2.5,3.125,1
2,3.5,2.5,3,4.5,4.25,1
3,4,2,4,2.5,3.875,1
1.5,4,3.5,3,2,4.5,1
3,3,3,3,3,3.875,1
3,4,2,4.5,3.5,4.375,1
2,3.5,3,4,3.5,4.125,1
3.5,3.5,3.5,4,2,3.5,1
4,3.5,3.5,4,3,3.75,1
4,4,2.5,4,3.5,3.875,1
4,3,4.5,2,2,3.75,1
2,4,2,3,2,4.625,1
4,4,2,4,2,4,1
4,3.5,2,4.5,4,4.875,1
3,3.5,2.5,4,2,3.125,1
4,4,2,4,3,4,1
4,3,3,4,4.5,4,1
3,3,3,3,3,4,1
4.5,3,3.5,4,3,3.5,1
4.5,4,2,4.5,3,3.75,1
3.5,4,2.5,3,3.5,3.625,1
2,4,3,3.5,2.5,4.5,1
3,3,3,3,3,4,1
3.5,3.5,2,4.5,3,3.75,1
4.5,5,2,5,2.5,3.375,1
3,3.5,2,3,2.5,3.5,1
3,5,3,4,2.5,4.875,1
4,4,3,4,2,3.25,1
4,4.5,2,4,3,4,1
3.5,3,3.5,4.5,2.5,3.625,1
2,4,3,3.5,3,3.75,1
4,2,2.5,4.5,3,4.125,1
4,4,2.5,3.5,2.5,3.875,1
4,4.5,2,4.5,2.5,4,1
5,4.5,2.5,3.5,2,3.75,1
3.5,4.5,4.5,1.5,2,4.25,1
3,3,3,3,3,5,1
4,3,3,3.5,2.5,3.875,1
2.5,4.5,4,4.5,3,4.75,1
2,4.5,2.5,4.5,3,3.875,1
3,4,3,4,3,4,1
2,3,3,3.5,3,4.75,1
4,4,2,4,3,4,1
4.5,3.5,3,4,4.5,4.875,1
3,3.5,3,3.5,3,4.625,1
4.5,4,3,3,4,3.75,1
3,4.5,3,4.5,1.5,3.5,1
4.5,5,1.5,5,2.5,4.25,1
3,3,3,3,3,2.625,1
4.5,4.5,1.5,4.5,4.5,3.875,1
3,5,2.5,3.5,3.5,4.25,1
4,4,3,4,3,3.875,1
2,4,2,4,1.5,4.875,1
4,4.5,3,3.5,1.5,3.75,1
4.5,4,4,3,3,3.875,1
3,4.5,3,3,2.5,4.5,1
1,5,3.5,3.5,3.5,5,1
3.5,3.5,2,3.5,3,3.25,1
4,4,3,4,3,3.375,1
3.5,4,3.5,3.5,3,4.125,1
4,4,3,3.5,3,4,1
4,3.5,3,4,3,4.5,1
2,5,3,4,2,3.5,1
4,3.5,2,2.5,3,4.625,1
3,4.5,1.5,4.5,2,3.875,1
2.5,4.5,2.5,4.5,3.5,4.5,1
3.5,4,3,2.5,3,4.75,1
3,3.5,3,4,3,4.25,1
4,4,4,3,2,3.75,1
3,4,4,3.5,3,3.875,1
4.5,5,2,4.5,4.5,4.875,1
4.5,3.5,1.5,3.5,2,4.5,1
2.5,3.5,1.5,4,3.5,3.75,1
2,2,3,3.5,2,5,1
4,5,2.5,4,5,4.75,1
4,5,2.5,4.5,3,4.75,1
4,5,3,4,4.5,4.875,1
3.5,3.5,3,3.5,3,3.375,1
2.5,4.5,2,4,3.5,4.125,1
2,3,4,2,4.5,3.5,1
1,3,4.5,3,2,5,1
3.5,5,5,4,4.5,4.5,1
4.5,4.5,1.5,4.5,3.5,3.375,1
4.5,4.5,2.5,3.5,3,5,1
4,4.5,3,3.5,3,4.5,1
3.5,3.5,2.5,3.5,3,5,1
3.5,3.5,2.5,3.5,3,4.75,1
5,5,1,5,3,5,1
